Michael Phelps	23	United States	2008	08-24-08	Swimming	8	0	0	8
Michael Phelps	19	United States	2004	08-29-04	Swimming	6	0	2	8
Michael Phelps	27	United States	2012	08-12-12	Swimming	4	2	0	6
Natalie Coughlin	25	United States	2008	08-24-08	Swimming	1	2	3	6
Aleksey Nemov	24	Russia	2000	10-01-00	Gymnastics	2	1	3	6
Alicia Coutts	24	Australia	2012	08-12-12	Swimming	1	3	1	5
Missy Franklin	17	United States	2012	08-12-12	Swimming	4	0	1	5
Ryan Lochte	27	United States	2012	08-12-12	Swimming	2	2	1	5
Allison Schmitt	22	United States	2012	08-12-12	Swimming	3	1	1	5
Natalie Coughlin	21	United States	2004	08-29-04	Swimming	2	2	1	5
Ian Thorpe	17	Australia	2000	10-01-00	Swimming	3	2	0	5
Dara Torres	33	United States	2000	10-01-00	Swimming	2	0	3	5
Cindy Klassen	26	Canada	2006	02-26-06	Speed Skating	1	2	2	5
Nastia Liukin	18	United States	2008	08-24-08	Gymnastics	1	3	1	5
Marit Bjørgen	29	Norway	2010	02-28-10	Cross Country Skiing	3	1	1	5
Sun Yang	20	China	2012	08-12-12	Swimming	2	1	1	4
Kirsty Coventry	24	Zimbabwe	2008	08-24-08	Swimming	1	3	0	4
Libby Lenton-Trickett	23	Australia	2008	08-24-08	Swimming	2	1	1	4
Ryan Lochte	24	United States	2008	08-24-08	Swimming	2	0	2	4
Inge de Bruijn	30	Netherlands	2004	08-29-04	Swimming	1	1	2	4
Petria Thomas	28	Australia	2004	08-29-04	Swimming	3	1	0	4
Ian Thorpe	21	Australia	2004	08-29-04	Swimming	2	1	1	4
Inge de Bruijn	27	Netherlands	2000	10-01-00	Swimming	3	1	0	4
Gary Hall Jr.	25	United States	2000	10-01-00	Swimming	2	1	1	4
Michael Klim	23	Australia	2000	10-01-00	Swimming	2	2	0	4
Susie O'Neill	27	Australia	2000	10-01-00	Swimming	1	3	0	4
Jenny Thompson	27	United States	2000	10-01-00	Swimming	3	0	1	4
Pieter van den Hoogenband	22	Netherlands	2000	10-01-00	Swimming	2	0	2	4
An Hyeon-Su	20	South Korea	2006	02-26-06	Short-Track Speed Skating	3	0	1	4
Aliya Mustafina	17	Russia	2012	08-12-12	Gymnastics	1	1	2	4
Shawn Johnson	16	United States	2008	08-24-08	Gymnastics	1	3	0	4
Dmitry Sautin	26	Russia	2000	10-01-00	Diving	1	1	2	4
Leontien Zijlaard-van Moorsel	30	Netherlands	2000	10-01-00	Cycling	3	1	0	4
Petter Northug Jr.	24	Norway	2010	02-28-10	Cross Country Skiing	2	1	1	4
Ole Einar Bjørndalen	28	Norway	2002	02-24-02	Biathlon	4	0	0	4
Janica Kostelic	20	Croatia	2002	02-24-02	Alpine Skiing	3	1	0	4
Nathan Adrian	23	United States	2012	08-12-12	Swimming	2	1	0	3
Yannick Agnel	20	France	2012	08-12-12	Swimming	2	1	0	3
Brittany Elmslie	18	Australia	2012	08-12-12	Swimming	1	2	0	3
Matt Grevers	27	United States	2012	08-12-12	Swimming	2	1	0	3
Ryosuke Irie	22	Japan	2012	08-12-12	Swimming	0	2	1	3
Cullen Jones	28	United States	2012	08-12-12	Swimming	1	2	0	3
Ranomi Kromowidjojo	21	Netherlands	2012	08-12-12	Swimming	2	1	0	3
Camille Muffat	22	France	2012	08-12-12	Swimming	1	1	1	3
Mel Schlanger	25	Australia	2012	08-12-12	Swimming	1	2	0	3
Emily Seebohm	20	Australia	2012	08-12-12	Swimming	1	2	0	3
Rebecca Soni	25	United States	2012	08-12-12	Swimming	2	1	0	3
Satomi Suzuki	21	Japan	2012	08-12-12	Swimming	0	1	2	3
Dana Vollmer	24	United States	2012	08-12-12	Swimming	3	0	0	3
Alain Bernard	25	France	2008	08-24-08	Swimming	1	1	1	3
László Cseh Jr.	22	Hungary	2008	08-24-08	Swimming	0	3	0	3
Matt Grevers	23	United States	2008	08-24-08	Swimming	2	1	0	3
Margaret Hoelzer	25	United States	2008	08-24-08	Swimming	0	2	1	3
Katie Hoff	19	United States	2008	08-24-08	Swimming	0	1	2	3
Leisel Jones	22	Australia	2008	08-24-08	Swimming	2	1	0	3
Kosuke Kitajima	25	Japan	2008	08-24-08	Swimming	2	0	1	3
Andrew Lauterstein	21	Australia	2008	08-24-08	Swimming	0	1	2	3
Jason Lezak	32	United States	2008	08-24-08	Swimming	2	0	1	3
Pang Jiaying	23	China	2008	08-24-08	Swimming	0	1	2	3
Aaron Peirsol	25	United States	2008	08-24-08	Swimming	2	1	0	3
Steph Rice	20	Australia	2008	08-24-08	Swimming	3	0	0	3
Jess Schipper	21	Australia	2008	08-24-08	Swimming	1	0	2	3
Rebecca Soni	21	United States	2008	08-24-08	Swimming	1	2	0	3
Eamon Sullivan	22	Australia	2008	08-24-08	Swimming	0	2	1	3
Dara Torres	41	United States	2008	08-24-08	Swimming	0	3	0	3
Amanda Beard	22	United States	2004	08-29-04	Swimming	1	2	0	3
Antje Buschschulte	25	Germany	2004	08-29-04	Swimming	0	0	3	3
Kirsty Coventry	20	Zimbabwe	2004	08-29-04	Swimming	1	1	1	3
Ian Crocker	21	United States	2004	08-29-04	Swimming	1	1	1	3
Grant Hackett	24	Australia	2004	08-29-04	Swimming	1	2	0	3
Brendan Hansen	22	United States	2004	08-29-04	Swimming	1	1	1	3
Jodie Henry	20	Australia	2004	08-29-04	Swimming	3	0	0	3
Otylia Jedrzejczak	20	Poland	2004	08-29-04	Swimming	1	2	0	3
Leisel Jones	18	Australia	2004	08-29-04	Swimming	1	1	1	3
Kosuke Kitajima	21	Japan	2004	08-29-04	Swimming	2	0	1	3
Laure Manaudou	17	France	2004	08-29-04	Swimming	1	1	1	3
Aaron Peirsol	21	United States	2004	08-29-04	Swimming	3	0	0	3
Kaitlin Sandeno	21	United States	2004	08-29-04	Swimming	1	1	1	3
Roland Schoeman	24	South Africa	2004	08-29-04	Swimming	1	1	1	3
Pieter van den Hoogenband	26	Netherlands	2004	08-29-04	Swimming	1	2	0	3
Therese Alshammar	23	Sweden	2000	10-01-00	Swimming	0	2	1	3
Yana Klochkova	18	Ukraine	2000	10-01-00	Swimming	2	1	0	3
Lenny Krayzelburg	24	United States	2000	10-01-00	Swimming	3	0	0	3
Massimiliano Rosolino	22	Italy	2000	10-01-00	Swimming	1	1	1	3
Petria Thomas	25	Australia	2000	10-01-00	Swimming	0	2	1	3
Matt Welsh	23	Australia	2000	10-01-00	Swimming	0	2	1	3
Lee Jeong-Su	20	South Korea	2010	02-28-10	Short-Track Speed Skating	2	1	0	3
Apolo Anton Ohno	27	United States	2010	02-28-10	Short-Track Speed Skating	0	1	2	3
Wang Meng	24	China	2010	02-28-10	Short-Track Speed Skating	3	0	0	3
Jin Seon-Yu	17	South Korea	2006	02-26-06	Short-Track Speed Skating	3	0	0	3
Lee Ho-Seok	19	South Korea	2006	02-26-06	Short-Track Speed Skating	1	2	0	3
Apolo Anton Ohno	23	United States	2006	02-26-06	Short-Track Speed Skating	1	0	2	3
Wang Meng	20	China	2006	02-26-06	Short-Track Speed Skating	1	1	1	3
Marc Gagnon	26	Canada	2002	02-24-02	Short-Track Speed Skating	2	0	1	3
Yang Yang (A)	25	China	2002	02-24-02	Short-Track Speed Skating	2	1	0	3
Stephanie Beckert	21	Germany	2010	02-28-10	Speed Skating	1	2	0	3
Martina Sáblíková	22	Czech Republic	2010	02-28-10	Speed Skating	2	0	1	3
Enrico Fabris	24	Italy	2006	02-26-06	Speed Skating	2	0	1	3
Chad Hedrick	28	United States	2006	02-26-06	Speed Skating	1	1	1	3
Jochem Uytdehaage	25	Netherlands	2002	02-24-02	Speed Skating	2	1	0	3
Sabine Völker	28	Germany	2002	02-24-02	Speed Skating	0	2	1	3
Gregor Schlierenzauer	20	Austria	2010	02-28-10	Ski Jumping	1	0	2	3
Lars Bystøl	27	Norway	2006	02-26-06	Ski Jumping	1	0	2	3
Johnny Spillane	29	United States	2010	02-28-10	Nordic Combined	0	3	0	3
Felix Gottwald	30	Austria	2006	02-26-06	Nordic Combined	2	1	0	3
Georg Hettich	27	Germany	2006	02-26-06	Nordic Combined	1	1	1	3
Felix Gottwald	26	Austria	2002	02-24-02	Nordic Combined	0	0	3	3
Samppa Lajunen	22	Finland	2002	02-24-02	Nordic Combined	3	0	0	3
Aly Raisman	18	United States	2012	08-12-12	Gymnastics	2	0	1	3
Kohei Uchimura	23	Japan	2012	08-12-12	Gymnastics	1	2	0	3
Zou Kai	24	China	2012	08-12-12	Gymnastics	2	0	1	3
Cheng Fei	20	China	2008	08-24-08	Gymnastics	1	0	2	3
Yang Wei	28	China	2008	08-24-08	Gymnastics	2	1	0	3
Yang Yilin	15	China	2008	08-24-08	Gymnastics	1	0	2	3
Zou Kai	20	China	2008	08-24-08	Gymnastics	3	0	0	3
Marian Dragulescu	23	Romania	2004	08-29-04	Gymnastics	0	1	2	3
Paul Hamm	21	United States	2004	08-29-04	Gymnastics	1	2	0	3
Carly Patterson	16	United States	2004	08-29-04	Gymnastics	1	2	0	3
Catalina Ponor	16	Romania	2004	08-29-04	Gymnastics	3	0	0	3
Simona Amânar	20	Romania	2000	10-01-00	Gymnastics	2	0	1	3
Svetlana Khorkina	21	Russia	2000	10-01-00	Gymnastics	1	2	0	3
Yekaterina Lobaznyuk	17	Russia	2000	10-01-00	Gymnastics	0	2	1	3
Yelena Zamolodchikova	17	Russia	2000	10-01-00	Gymnastics	2	1	0	3
Guo Shuang	26	China	2012	08-12-12	Cycling	0	2	1	3
Chris Hoy	32	Great Britain	2008	08-24-08	Cycling	3	0	0	3
Bradley Wiggins	24	Great Britain	2004	08-29-04	Cycling	1	1	1	3
Florian Rousseau	26	France	2000	10-01-00	Cycling	2	1	0	3
Justyna Kowalczyk	27	Poland	2010	02-28-10	Cross Country Skiing	1	1	1	3
Johan Olsson	29	Sweden	2010	02-28-10	Cross Country Skiing	1	0	2	3
Stefania Belmondo	33	Italy	2002	02-24-02	Cross Country Skiing	1	1	1	3
Yuliya Chepalova	25	Russia	2002	02-24-02	Cross Country Skiing	1	1	1	3
Frode Estil	29	Norway	2002	02-24-02	Cross Country Skiing	2	1	0	3
Bente Skari-Martinsen	29	Norway	2002	02-24-02	Cross Country Skiing	1	1	1	3
Magdalena Neuner	23	Germany	2010	02-28-10	Biathlon	2	1	0	3
Emil Hegle Svendsen	24	Norway	2010	02-28-10	Biathlon	2	1	0	3
Albina Akhatova	29	Russia	2006	02-26-06	Biathlon	1	0	2	3
Ole Einar Bjørndalen	32	Norway	2006	02-26-06	Biathlon	0	2	1	3
Sven Fischer	34	Germany	2006	02-26-06	Biathlon	2	0	1	3
Martina Glagow-Beck	26	Germany	2006	02-26-06	Biathlon	0	3	0	3
Michael Greis	29	Germany	2006	02-26-06	Biathlon	3	0	0	3
Kati Wilhelm	29	Germany	2006	02-26-06	Biathlon	1	2	0	3
Kati Wilhelm	25	Germany	2002	02-24-02	Biathlon	2	1	0	3
Yohan Blake	22	Jamaica	2012	08-12-12	Athletics	1	2	0	3
Usain Bolt	25	Jamaica	2012	08-12-12	Athletics	3	0	0	3
Allyson Felix	26	United States	2012	08-12-12	Athletics	3	0	0	3
Shelly-Ann Fraser-Pryce	25	Jamaica	2012	08-12-12	Athletics	1	2	0	3
Carmelita Jeter	32	United States	2012	08-12-12	Athletics	1	1	1	3
Usain Bolt	21	Jamaica	2008	08-24-08	Athletics	3	0	0	3
Veronica Campbell-Brown	22	Jamaica	2004	08-29-04	Athletics	2	0	1	3
Justin Gatlin	22	United States	2004	08-29-04	Athletics	1	1	1	3
Bode Miller	32	United States	2010	02-28-10	Alpine Skiing	1	1	1	3
Aksel Lund Svindal	27	Norway	2010	02-28-10	Alpine Skiing	1	1	1	3
Anja Pärson	24	Sweden	2006	02-26-06	Alpine Skiing	1	0	2	3
Stephan Eberharter	32	Austria	2002	02-24-02	Alpine Skiing	1	1	1	3
Ding Ning	22	China	2012	08-12-12	Table Tennis	1	1	0	2
Feng Tian Wei	25	Singapore	2012	08-12-12	Table Tennis	0	0	2	2
Li Xiaoxia	24	China	2012	08-12-12	Table Tennis	2	0	0	2
Dmitrij Ovtcharov	23	Germany	2012	08-12-12	Table Tennis	0	0	2	2
Wang Hao	28	China	2012	08-12-12	Table Tennis	1	1	0	2
Zhang Jike	24	China	2012	08-12-12	Table Tennis	2	0	0	2
Guo Yue	20	China	2008	08-24-08	Table Tennis	1	0	1	2
Ma Lin	28	China	2008	08-24-08	Table Tennis	2	0	0	2
Wang Hao	24	China	2008	08-24-08	Table Tennis	1	1	0	2
Wang Liqin	30	China	2008	08-24-08	Table Tennis	1	0	1	2
Wang Nan	29	China	2008	08-24-08	Table Tennis	1	1	0	2
Zhang Yining	26	China	2008	08-24-08	Table Tennis	2	0	0	2
Zhang Yining	22	China	2004	08-29-04	Table Tennis	2	0	0	2
Kong Linghui	24	China	2000	10-01-00	Table Tennis	1	1	0	2
Li Ju	24	China	2000	10-01-00	Table Tennis	1	1	0	2
Liu Guoliang	24	China	2000	10-01-00	Table Tennis	0	1	1	2
Wang Nan	21	China	2000	10-01-00	Table Tennis	2	0	0	2
Viktoriya Azarenko	22	Belarus	2012	08-12-12	Tennis	1	0	1	2
Mike Bryan	34	United States	2012	08-12-12	Tennis	1	0	1	2
Andy Murray	25	Great Britain	2012	08-12-12	Tennis	1	1	0	2
Serena Williams	30	United States	2012	08-12-12	Tennis	2	0	0	2
Fernando González	24	Chile	2004	08-29-04	Tennis	1	0	1	2
Nicolás Massú	26	Chile	2004	08-29-04	Tennis	2	0	0	2
Venus Williams	20	United States	2000	10-01-00	Tennis	2	0	0	2
Ona Carbonell	22	Spain	2012	08-12-12	Synchronized Swimming	0	1	1	2
Andrea Fuentes	29	Spain	2012	08-12-12	Synchronized Swimming	0	1	1	2
Huang Xuechen	22	China	2012	08-12-12	Synchronized Swimming	0	1	1	2
Nataliya Ishchenko	26	Russia	2012	08-12-12	Synchronized Swimming	2	0	0	2
Liu Ou	25	China	2012	08-12-12	Synchronized Swimming	0	1	1	2
Svetlana Romashina	22	Russia	2012	08-12-12	Synchronized Swimming	2	0	0	2
Anastasiya Davydova	25	Russia	2008	08-24-08	Synchronized Swimming	2	0	0	2
Andrea Fuentes	25	Spain	2008	08-24-08	Synchronized Swimming	0	2	0	2
Gemma Mengual	31	Spain	2008	08-24-08	Synchronized Swimming	0	2	0	2
Anastasiya Yermakova	25	Russia	2008	08-24-08	Synchronized Swimming	2	0	0	2
Alison Bartosik	21	United States	2004	08-29-04	Synchronized Swimming	0	0	2	2
Anastasiya Davydova	21	Russia	2004	08-29-04	Synchronized Swimming	2	0	0	2
Anna Kozlova	31	United States	2004	08-29-04	Synchronized Swimming	0	0	2	2
Miya Tachibana	29	Japan	2004	08-29-04	Synchronized Swimming	0	2	0	2
Miho Takeda	27	Japan	2004	08-29-04	Synchronized Swimming	0	2	0	2
Anastasiya Yermakova	21	Russia	2004	08-29-04	Synchronized Swimming	2	0	0	2
Olga Brusnikina	21	Russia	2000	10-01-00	Synchronized Swimming	2	0	0	2
Mariya Kiselyova	25	Russia	2000	10-01-00	Synchronized Swimming	2	0	0	2
Miya Tachibana	25	Japan	2000	10-01-00	Synchronized Swimming	0	2	0	2
Miho Takeda	24	Japan	2000	10-01-00	Synchronized Swimming	0	2	0	2
Becky Adlington	23	Great Britain	2012	08-12-12	Swimming	0	0	2	2
Bronte Barratt	23	Australia	2012	08-12-12	Swimming	0	1	1	2
Elizabeth Beisel	19	United States	2012	08-12-12	Swimming	0	1	1	2
Mireia Belmonte	21	Spain	2012	08-12-12	Swimming	0	2	0	2
Ricky Berens	24	United States	2012	08-12-12	Swimming	1	1	0	2
Aleksandra Gerasimenya	26	Belarus	2012	08-12-12	Swimming	0	2	0	2
Brendan Hansen	30	United States	2012	08-12-12	Swimming	1	0	1	2
Jessica Hardy	25	United States	2012	08-12-12	Swimming	1	0	1	2
Chad le Clos	20	South Africa	2012	08-12-12	Swimming	1	1	0	2
Clément Lefert	24	France	2012	08-12-12	Swimming	1	1	0	2
Amaury Leveaux	26	France	2012	08-12-12	Swimming	1	1	0	2
James Magnussen	21	Australia	2012	08-12-12	Swimming	0	1	1	2
Takeshi Matsuda	28	Japan	2012	08-12-12	Swimming	0	1	1	2
Oussama Mellouli	28	Tunisia	2012	08-12-12	Swimming	1	0	1	2
Park Tae-Hwan	22	South Korea	2012	08-12-12	Swimming	0	2	0	2
Christian Sprenger	26	Australia	2012	08-12-12	Swimming	0	1	1	2
Jeremy Stravius	24	France	2012	08-12-12	Swimming	1	1	0	2
Aya Terakawa	27	Japan	2012	08-12-12	Swimming	0	0	2	2
Nick Thoman	26	United States	2012	08-12-12	Swimming	1	1	0	2
Marleen Veldhuis	33	Netherlands	2012	08-12-12	Swimming	0	1	1	2
Ye Shiwen	16	China	2012	08-12-12	Swimming	2	0	0	2
Becky Adlington	19	Great Britain	2008	08-24-08	Swimming	2	0	0	2
Leith Brodie	22	Australia	2008	08-24-08	Swimming	0	0	2	2
Cate Campbell	16	Australia	2008	08-24-08	Swimming	0	0	2	2
César Cielo Filho	21	Brazil	2008	08-24-08	Swimming	1	0	1	2
Hugues Duboscq	26	France	2008	08-24-08	Swimming	0	0	2	2
Felicity Galvez	23	Australia	2008	08-24-08	Swimming	2	0	0	2
Grant Hackett	28	Australia	2008	08-24-08	Swimming	0	1	1	2
Kara Lynn Joyce	22	United States	2008	08-24-08	Swimming	0	2	0	2
Amaury Leveaux	22	France	2008	08-24-08	Swimming	0	2	0	2
Christine Magnuson	22	United States	2008	08-24-08	Swimming	0	2	0	2
Patrick Murphy	24	Australia	2008	08-24-08	Swimming	0	0	2	2
Park Tae-Hwan	18	South Korea	2008	08-24-08	Swimming	1	1	0	2
Shayne Reese	25	Australia	2008	08-24-08	Swimming	1	0	1	2
Brenton Rickard	24	Australia	2008	08-24-08	Swimming	0	2	0	2
Mel Schlanger	21	Australia	2008	08-24-08	Swimming	1	0	1	2
Julia Smit	20	United States	2008	08-24-08	Swimming	0	1	1	2
Britta Steffen	24	Germany	2008	08-24-08	Swimming	2	0	0	2
Hayden Stoeckel	24	Australia	2008	08-24-08	Swimming	0	1	1	2
Matt Targett	22	Australia	2008	08-24-08	Swimming	0	1	1	2
Peter Vanderkaay	24	United States	2008	08-24-08	Swimming	1	0	1	2
Arkady Vyachanin	24	Russia	2008	08-24-08	Swimming	0	0	2	2
Garrett Weber-Gale	23	United States	2008	08-24-08	Swimming	2	0	0	2
Lindsay Benko	27	United States	2004	08-29-04	Swimming	1	1	0	2
Gary Hall Jr.	29	United States	2004	08-29-04	Swimming	1	0	1	2
Brooke Hanson	26	Australia	2004	08-29-04	Swimming	1	1	0	2
Kara Lynn Joyce	18	United States	2004	08-29-04	Swimming	0	2	0	2
Klete Keller	22	United States	2004	08-29-04	Swimming	1	0	1	2
Yana Klochkova	22	Ukraine	2004	08-29-04	Swimming	2	0	0	2
Rachel Komisarz	27	United States	2004	08-29-04	Swimming	1	1	0	2
Libby Lenton-Trickett	19	Australia	2004	08-29-04	Swimming	1	0	1	2
Jason Lezak	28	United States	2004	08-29-04	Swimming	1	0	1	2
Ryan Lochte	20	United States	2004	08-29-04	Swimming	1	1	0	2
Alice Mills	18	Australia	2004	08-29-04	Swimming	2	0	0	2
Tomomi Morita	19	Japan	2004	08-29-04	Swimming	0	0	2	2
Markus Rogan	22	Austria	2004	08-29-04	Swimming	0	2	0	2
Jenny Thompson	31	United States	2004	08-29-04	Swimming	0	2	0	2
Franziska van Almsick	26	Germany	2004	08-29-04	Swimming	0	0	2	2
Neil Walker	28	United States	2004	08-29-04	Swimming	1	0	1	2
Amanda Weir	18	United States	2004	08-29-04	Swimming	0	2	0	2
Takashi Yamamoto	26	Japan	2004	08-29-04	Swimming	0	1	1	2
Brooke Bennett	20	United States	2000	10-01-00	Swimming	2	0	0	2
Beatrice Coada-Caslaru	25	Romania	2000	10-01-00	Swimming	0	1	1	2
Josh Davis	28	United States	2000	10-01-00	Swimming	0	2	0	2
Tom Dolan	25	United States	2000	10-01-00	Swimming	1	1	0	2
Anthony Ervin	19	United States	2000	10-01-00	Swimming	1	1	0	2
Domenico Fioravanti	23	Italy	2000	10-01-00	Swimming	2	0	0	2
Grant Hackett	20	Australia	2000	10-01-00	Swimming	2	0	0	2
Geoff Huegill	21	Australia	2000	10-01-00	Swimming	0	1	1	2
Leisel Jones	15	Australia	2000	10-01-00	Swimming	0	2	0	2
Klete Keller	18	United States	2000	10-01-00	Swimming	0	1	1	2
Jason Lezak	24	United States	2000	10-01-00	Swimming	1	1	0	2
Diana Mocanu	16	Romania	2000	10-01-00	Swimming	2	0	0	2
Martina Moravcová	24	Slovakia	2000	10-01-00	Swimming	0	2	0	2
Ed Moses	20	United States	2000	10-01-00	Swimming	1	1	0	2
Diana Munz	18	United States	2000	10-01-00	Swimming	1	1	0	2
Mai Nakamura	21	Japan	2000	10-01-00	Swimming	0	1	1	2
Todd Pearson	22	Australia	2000	10-01-00	Swimming	2	0	0	2
Adam Pine	24	Australia	2000	10-01-00	Swimming	1	1	0	2
Claudia Poll	27	Costa Rica	2000	10-01-00	Swimming	0	0	2	2
Megan Quann-Jendrick	16	United States	2000	10-01-00	Swimming	2	0	0	2
Giaan Rooney	17	Australia	2000	10-01-00	Swimming	0	2	0	2
Courtney Shealy	22	United States	2000	10-01-00	Swimming	2	0	0	2
Ashley Tappin	25	United States	2000	10-01-00	Swimming	2	0	0	2
Stev Theloke	22	Germany	2000	10-01-00	Swimming	0	0	2	2
Amy Van Dyken	27	United States	2000	10-01-00	Swimming	2	0	0	2
Neil Walker	24	United States	2000	10-01-00	Swimming	1	1	0	2
J. R. Celski	19	United States	2010	02-28-10	Short-Track Speed Skating	0	0	2	2
Charles Hamelin	25	Canada	2010	02-28-10	Short-Track Speed Skating	2	0	0	2
Lee Ho-Seok	23	South Korea	2010	02-28-10	Short-Track Speed Skating	0	2	0	2
Park Seung-Hui	17	South Korea	2010	02-28-10	Short-Track Speed Skating	0	0	2	2
Katherine Reutter	21	United States	2010	02-28-10	Short-Track Speed Skating	0	1	1	2
Seong Si-Baek	22	South Korea	2010	02-28-10	Short-Track Speed Skating	0	2	0	2
Marianne St-Gelais	19	Canada	2010	02-28-10	Short-Track Speed Skating	0	2	0	2
François-Louis Tremblay	29	Canada	2010	02-28-10	Short-Track Speed Skating	1	0	1	2
Zhou Yang	18	China	2010	02-28-10	Short-Track Speed Skating	2	0	0	2
Choi Eun-Gyeong	21	South Korea	2006	02-26-06	Short-Track Speed Skating	1	1	0	2
Anouk Leblanc-Boucher	21	Canada	2006	02-26-06	Short-Track Speed Skating	0	1	1	2
François-Louis Tremblay	25	Canada	2006	02-26-06	Short-Track Speed Skating	0	2	0	2
Choi Eun-Gyeong	17	South Korea	2002	02-24-02	Short-Track Speed Skating	1	1	0	2
Go Gi-Hyeon	15	South Korea	2002	02-24-02	Short-Track Speed Skating	1	1	0	2
Jonathan Guilmette	23	Canada	2002	02-24-02	Short-Track Speed Skating	1	1	0	2
Li Jiajun	26	China	2002	02-24-02	Short-Track Speed Skating	0	1	1	2
Apolo Anton Ohno	19	United States	2002	02-24-02	Short-Track Speed Skating	1	1	0	2
Evgeniya Radanova	24	Bulgaria	2002	02-24-02	Short-Track Speed Skating	0	1	1	2
Mathieu Turcotte	25	Canada	2002	02-24-02	Short-Track Speed Skating	1	0	1	2
Wang Chunlu	23	China	2002	02-24-02	Short-Track Speed Skating	0	1	1	2
Yang Yang (S)	24	China	2002	02-24-02	Short-Track Speed Skating	0	1	1	2
Shani Davis	27	United States	2010	02-28-10	Speed Skating	1	1	0	2
Kristina Groves	33	Canada	2010	02-28-10	Speed Skating	0	1	1	2
Chad Hedrick	32	United States	2010	02-28-10	Speed Skating	0	1	1	2
Sven Kramer	23	Netherlands	2010	02-28-10	Speed Skating	1	0	1	2
Lee Seung-Hun	21	South Korea	2010	02-28-10	Speed Skating	1	1	0	2
Mo Tae-Beom	21	South Korea	2010	02-28-10	Speed Skating	1	1	0	2
Ivan Skobrev	27	Russia	2010	02-28-10	Speed Skating	0	1	1	2
Mark Tuitert	29	Netherlands	2010	02-28-10	Speed Skating	1	0	1	2
Joey Cheek	26	United States	2006	02-26-06	Speed Skating	1	1	0	2
Shani Davis	23	United States	2006	02-26-06	Speed Skating	1	1	0	2
Anni Friesinger-Postma	29	Germany	2006	02-26-06	Speed Skating	1	0	1	2
Kristina Groves	29	Canada	2006	02-26-06	Speed Skating	0	2	0	2
Clara Hughes	33	Canada	2006	02-26-06	Speed Skating	1	1	0	2
Sven Kramer	19	Netherlands	2006	02-26-06	Speed Skating	0	1	1	2
Claudia Pechstein	33	Germany	2006	02-26-06	Speed Skating	1	1	0	2
Carl Verheijen	30	Netherlands	2006	02-26-06	Speed Skating	0	0	2	2
Erben Wennemars	30	Netherlands	2006	02-26-06	Speed Skating	0	0	2	2
Ireen Wüst	19	Netherlands	2006	02-26-06	Speed Skating	1	0	1	2
Derek Parra	31	United States	2002	02-24-02	Speed Skating	1	1	0	2
Claudia Pechstein	29	Germany	2002	02-24-02	Speed Skating	2	0	0	2
Jennifer Rodriguez	25	United States	2002	02-24-02	Speed Skating	0	0	2	2
Simon Ammann	28	Switzerland	2010	02-28-10	Ski Jumping	2	0	0	2
Adam Malysz	32	Poland	2010	02-28-10	Ski Jumping	0	2	0	2
Matti Hautamäki	24	Finland	2006	02-26-06	Ski Jumping	0	2	0	2
Andreas Kofler	21	Austria	2006	02-26-06	Ski Jumping	1	1	0	2
Roar Ljøkelsøy	29	Norway	2006	02-26-06	Ski Jumping	0	0	2	2
Thomas Morgenstern	19	Austria	2006	02-26-06	Ski Jumping	2	0	0	2
Simon Ammann	20	Switzerland	2002	02-24-02	Ski Jumping	2	0	0	2
Sven Hannawald	27	Germany	2002	02-24-02	Ski Jumping	1	1	0	2
Matti Hautamäki	20	Finland	2002	02-24-02	Ski Jumping	0	1	1	2
Adam Malysz	24	Poland	2002	02-24-02	Ski Jumping	0	1	1	2
Niccolò Campriani	24	Italy	2012	08-12-12	Shooting	1	1	0	2
Jin Jong-O	32	South Korea	2012	08-12-12	Shooting	2	0	0	2
Olena Kostevych	27	Ukraine	2012	08-12-12	Shooting	0	0	2	2
Jin Jong-O	28	South Korea	2008	08-24-08	Shooting	1	1	0	2
Katerina Kurková-Emmons	24	Czech Republic	2008	08-24-08	Shooting	1	1	0	2
Lyubov Galkina	31	Russia	2004	08-29-04	Shooting	1	1	0	2
Mariya Grozdeva	32	Bulgaria	2004	08-29-04	Shooting	1	0	1	2
Lee Bo-Na	23	South Korea	2004	08-29-04	Shooting	0	1	1	2
Mikhail Nestruyev	35	Russia	2004	08-29-04	Shooting	1	1	0	2
Igor Basinsky	37	Belarus	2000	10-01-00	Shooting	0	1	1	2
Tao Luna	26	China	2000	10-01-00	Shooting	1	1	0	2
Kim Crow	26	Australia	2012	08-12-12	Rowing	0	1	1	2
Georgeta Damian-Andrunache	32	Romania	2008	08-24-08	Rowing	1	0	1	2
Viorica Susanu	32	Romania	2008	08-24-08	Rowing	1	0	1	2
Georgeta Damian-Andrunache	28	Romania	2004	08-29-04	Rowing	2	0	0	2
Viorica Susanu	28	Romania	2004	08-29-04	Rowing	2	0	0	2
Georgeta Damian-Andrunache	24	Romania	2000	10-01-00	Rowing	2	0	0	2
Doina Ignat	31	Romania	2000	10-01-00	Rowing	2	0	0	2
Pieta van Dishoeck	28	Netherlands	2000	10-01-00	Rowing	0	2	0	2
Eeke van Nes	31	Netherlands	2000	10-01-00	Rowing	0	2	0	2
Bill Demong	29	United States	2010	02-28-10	Nordic Combined	1	1	0	2
Bernhard Gruber	27	Austria	2010	02-28-10	Nordic Combined	1	0	1	2
Magnus Moan	22	Norway	2006	02-26-06	Nordic Combined	0	1	1	2
